Company_id,Year,R&D_investemetn,net_sales,operating_profits,employees
41,2014,27.209659999999996,459.4844,246.9411,2300.0
42,2011,31.131940000000004,7468.106,238.8318,12900.0
42,2012,27.12247,7805.782,223.5029,10600.0
42,2013,44.86766,5550.634,-17.23054,9800.0
42,2014,58.04773,7258.191999999999,152.7502,9700.0
43,2011,19.6475,2988.225,177.2523,30000.0
43,2012,36.42752,4017.01,220.4768,33000.0
43,2013,61.70376,4192.882,212.9364,35000.0
43,2014,65.20845,4262.445,426.7224,34000.0
44,2011,834.3212999999998,2794.6940000000004,497.6078,6970.0
44,2012,870.9312,2609.858,242.6957,7259.0
44,2013,950.497,2804.051,231.1925,7355.0
44,2014,954.5,3053.259,336.7258,7163.0
45,2011,656.453,3765.75,296.5158,18000.0
45,2012,611.152,3249.3190000000004,381.3523,16500.0
45,2013,621.8595,3447.82,438.1844,16800.0
45,2014,696.8121,3816.817,599.6208,17300.0
46,2011,,,,
46,2012,,,,
46,2013,33.35803,3283.748,20.50901,
46,2014,40.77092,3617.081,304.3405,12600.0
47,2011,,912.0208,-155.215,
47,2012,,1226.141,53.28666,
47,2013,41.35954,769.5669,143.1446,
47,2014,32.7508,667.1487,-6.058002,
48,2011,7.515123,7972.99,617.8811,120096.0
48,2012,10.25165,8844.888,423.8235,
48,2013,21.27248,9466.401,603.6682,86348.0
48,2014,59.79408,8996.698,1078.828,
49,2011,66.06361,3958.863,946.1509,7913.0
49,2012,51.17603,4669.471,859.4822,8667.0
49,2013,40.94083,4538.804,794.3038,
49,2014,37.21893,5367.573,806.3347999999999,
50,2011,240.8367,3057.552,162.0953,17265.0
50,2012,236.8832,3784.457,377.7263,16325.0
50,2013,294.1272,4229.264,498.0777,17302.0
50,2014,352.0302,4632.489,404.3756,
51,2011,862.2386,75733.08999999998,14406.52,81918.0
51,2012,782.8383,87271.88,10502.56,85065.0
51,2013,839.2868999999998,94564.01,11051.85,86108.0
51,2014,889.5325,104603.8,-5849.886,80908.0
52,2011,1378.7979999999998,48587.41,23617.48,79646.0
52,2012,1217.362,39283.4,7680.582999999998,85305.0
52,2013,659.7476,38519.87,12406.71,83286.0
52,2014,604.5627,30919.18,5987.148,76531.0
53,2011,30.73136,10289.84,599.0151,7164.0
53,2012,32.93814,11014.76,485.2139,7243.0
53,2013,35.91999,12707.01,849.8078,7807.0
53,2014,42.93855,14276.99,1107.018,
