Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,ARE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.6,537.8,698.1,810.4,756.1,917.8,1024.7,1229.3,1427.8,1645.5,1775.6,1819,2261.6,2180.9,,
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48622,,,0.6936,0.89504,0.96366,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.953191017,6.479174551,4.757370505,4.02028498,5.59195718,5.074831596,5.909451209,8.104063118,9.351856306,9.267344476,7.669045367,8.897494763,7.719023678,6.826630039,7.05418222,6.594450291,9.017369186,8.686933066,7.418585913,7.074021443,6.415778771,7.259680198,6.876391723,9.008199853,8.792814727,8.950386418,
Argentina,ARG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255887224,271336431,247037164,285394512,400463473,460222625,544457420,599028286,797074012,800150443,600022456,710281801,761458020,840303735,1043916907,1139881387,1948517138,1546820304,1628113368,1862450242,1601051638,1745160318,1473214194,1442450760,1300925701,1447746846,
Argentina,ARG,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.12276,169.88769,155.72444,157.48519,165.7526,160.25603,167.79181,179.89245,198.95013,206.04724,193.444,203.95029,225.73858,246.04666,271.04767,304.75045,318.77289,318.81147,321.36615,310.1436,,
Argentina,ARG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.19237,701.37651,709.55991,712.94702,684.68019,688.39888,714.36814,760.9603,814.09127,885.76803,967.74539,1028.24526,1032.7503,1120.67993,1176.96839,1199.36089,1193.80827,1202.02836,1219.99601,1232.60086,,
Argentina,ARG,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,25316,29742,24616,28363,55090,,58650,53717,45257,41605,67053,44357,37345,37687,49867,60884,47972,60194,72008,64719,61847,40583,42812,81216,76431,79018,77711,71559,89629,83683,88428,77494,60170,55295,58486,66278,71058,74722,
Argentina,ARG,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,18498,22667,19455,23879,,,51434,46106,37092,33368,52578,34654,26749,27037,36316,43096,33693,42784,52569,45377,42900,27587,30721,61843,59683,59264,58283,53669,66326,65273,68974,57346,44398,40291,44134,52208,55739,59669,
Argentina,ARG,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,6818,7075,5161,4484,,,7216,7611,8165,8237,14475,9703,10596,10650,13551,17788,14279,17410,19439,19342,18947,12996,12091,19373,16748,19754,19428,17890,23303,18410,19454,20148,15772,15004,14352,14070,15319,15053,
Argentina,ARG,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,1269,954,951,1102,1182,,,,,,955,943,503,787,694,676,1097,824,861,899,1062,691,718,792,786,1054,1020,937,801,640,552,688,735,643,509,546,884,393,
Argentina,ARG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,3063,3321,2793,2443,2656,,,,,,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,4336,4165,4133,4078,4129,4173,3579,2925,3050,
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4588.4,4700.7,5009.2,5599.8,5755,6356.5,7017.4,7472.5,7961.9,8205.1,8268.5,8955.3,8719.7,8648.2,,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41749,0.41959,0.41131,0.45337,0.43884,0.42461,0.38886,0.41013,0.40376,0.42074,0.45216,0.46007,0.47055,0.58398,0.56104,0.56597,0.63491,0.61849,0.59278,0.61408,0.53274,,
