Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,BRB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,600000,900000,2100000,2550000,2050000,2200000,2150000,4700000,6400000,5400000,7700000,15450000,5500000,6550000,4000000,2700000,7250000,10150000,12950000,14650000,17800000,20650000,22200000,22600000,23700000,24300000,24600000,24950000,20014134.73,19056795.12,34400000,25950000,31800000,36771831.54,19147648.53,12425727,9222731.572,12137663.51,,,,,
Brunei Darussalam,BRN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143313741,,,5.486936357,8.999055141,,,3.45E-05,0.000141509,0.000453825,6.046940029,,6.460718135,15.44695196,12.83998614,16.69689114,25.98422267,19.39961158,12.77106573,15.24223582,7.762844701,17.93470383,8.280979348,29.8970917,
Brunei Darussalam,BRN,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39322,,,11992243,22384796,,,53,321,977,25239183,,16386077,42372651,27278695,44238096,104629569,104099974,65481453,53165101,55449872,75036399,46102392,159575567,
Brunei Darussalam,BRN,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.41199,277.3148,283.4311,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,779,989,880,990,970,1074,1011,1177,1500,1713,1167,1106,1423,758,609,818,793,846,685,860,944,649,725,857,1128,1135,1176,,,1684,
Brunei Darussalam,BRN,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,10,9,3,15,14,3,18,30,104,55,25,31,28,37,41,51,56,24,52,40,35,33,19,53,41,101,,,135,
Brunei Darussalam,BRN,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,774,979,871,987,955,1060,1008,1159,1470,1609,1112,1081,1392,730,572,777,742,790,661,808,904,614,692,838,1075,1094,1075,,,1549,
Brunei Darussalam,BRN,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,26,,,8,
Brunei Darussalam,BRN,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,41,42,21,42,32,34,21,21,21,43,31,26,41,64,75,42,,,11,15,91,,,99,
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,29.3,30.3,33.9,42.6,42.4,46.3,47.7,79.4,107.3,126.1,185.9,177.5,216.9,,
Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01592,0.01842,0.03701,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121366.487,2355730.667,2698279.788,3380810.304,3657500.952,5544929.727,6640964.039,7252228.193,7578254.53,,,,,,13635732.65,37774081.59,17254031.09,
Bhutan,BTN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452829774,,,,,,,4.144933389,5.486603367,0.751317632,0.125439808,0.215992735,0.13731061,8.76E-05,0.023029919,,,,,,
Bhutan,BTN,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233786,,,,,,,5332666,10506554,1941205,9426,439945,394616,272,58575,,,,,,
Bhutan,BTN,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143,408,223,440,660,598,617,1003,967,861,920,,,,749,783,753,,884,912,910,
Bhutan,BTN,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,3,1,12,4,7,1,14,18,,,,8,24,13,,2,15,11,
Bhutan,BTN,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138,407,223,437,659,586,613,996,966,847,902,,,,741,759,740,,882,897,899,
Bhutan,BTN,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,1,4,,
Bhutan,BTN,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,7,1,3,
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,8.4,5.5,15.9,8.1,6.1,12.1,17.2,17.3,18,29.3,27.8,23.9,40.2,,
Bhutan,BTN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201162.0461,101334.8565,159089.5838,14727.12717,13001.22064,12422.50042,14886.99497,15779.25019,6408.720696,13088.21977,37225.33592,22012.51734,11086.66248
Bhutan,BTN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4023.240922,93074.32339,126846.9715,369573.5846,167599.4428,221228.1435,65332.22774,39214.89741,665037.9805,486417.0298,355875.6014,279474.1542,304211.0002
Botswana,BWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510212818,0.253836949,0.512387789,0.449420996,0.416845086,0.439827419,0.421133506,0.43012044,0.566611135,0.924868482,0.399678758,0.868128661,1.174459251,0.375552003,0.233371585,0.632127018,0.397624563,0.888770867,
Botswana,BWA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12695397,5823883,12780910,14759407,12524242,16535910,15049990,15946359,20963734,24375930,14725119,44536509,61114300,24724995,16518448,35802081,27168930,49682765,
Botswana,BWA,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83661,121.21172,,,,,
Botswana,BWA,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.33268,179.46852,,,,,
Botswana,BWA,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,573,262,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612,1890,1721,1824,1963,1959,1917,
Botswana,BWA,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,411,358,359,418,519,464,
Botswana,BWA,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,573,262,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,1479,1363,1465,1545,1440,1453,
Botswana,BWA,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8,4,3,1,3,
Botswana,BWA,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,18,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,1,5,5,6,4,
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1,121.2,115.3,178.6,139.2,151,134.9,154.2,160.5,156.6,180.9,200,167.4,226.6,,
Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53286,,,,,,,0.25411,0.53728,,,,,
Botswana,BWA,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49466.83002,47399.54259,41269.87402,37248.86582,36072.3467,,104909.5669,172745.085,21624.44916,,5135.724127,459876.5674,3367905.462,5400704.617,461229.6933,317307.1619,233066.2791,485552.383,85757.11313,130346.2985,13970.00791,173650.4356,93701.123,187463.3138,121558.5412,589497.1892,568000.2351,
Botswana,BWA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,120750.0512,,,,,,,,,,,,7847496.975,5837085.942,10475298.91,9120642.159,2085936.486,5843720.165,,3273561.967,8524141.717,6400836.953,5776673.744,8682797.591,8440552.394,11905858.96,11035759.34,12310533.21,7340944.07,11367355.43,6546862.434,9290541.551,11408333.54,11216665.1,13283368.75,10250470.89,9090257.442,8816753.817,6090083.129,15634954.49,
Central African Republic,CAF,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893538539,0.244925744,0.456537282,0.330858669,0.370790448,0.298927225,0.157223779,0.082688169,1.300119162,0.115690641,0.113163212,0.235889745,0.045998672,0.252900305,0.749160201,0.05823288,41.83742404,17.10639885,0.032534632,1.413306999,0.038264507,,,0.087359943,0.022997118,
Central African Republic,CAF,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312121,82962,242868,161960,131626,186866,105276,45183,473757,31511,26816,41334,19255,133540,213932,7456,897373,477838,1394,134458,1325,,,43338,29204,
Central African Republic,CAF,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,8.6,9.6,13.4,8.3,9.5,10.1,14.3,13.3,10.5,11.8,18.7,13.6,28.9,,
Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79141558,12.05035161,13.75593582,15.9147325,14.89629768,13.93698098,13.81223138,14.98592861,15.82917166,15.54943269,15.55952168,14.95138062,17.72942835,15.69730717,14.19283221,13.72987327,12.09374088,13.08441299,13.34499585,12.75221945,13.60045257,16.25767275,14.04658137,13.42582088,13.78350409,14.01185268,13.56093972,13.84428978,12.93471424,12.8523854,
Canada,CAN,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7261374501,8343848041,10122181560,11804295892,11782688909,12304804428,14171258026,17738028951,19770469707,20981304803,21837723842,23792681720,29780009925,24138991014,22536924400,22651716240,21526068655,25351657258,26734980308,26310508820,26911377699,23210217037,23963441244,25017006457,29087234635,29025961547,26552175610,26318082109,23974176827,24220179630,
Canada,CAN,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.78361,1101.8906,1098.94137,1113.22418,1234.7176,1306.69944,1361.39175,1456.62965,1615.05294,1636.05775,1755.21986,1977.29056,1956.32044,1786.92814,1519.81342,1555.07073,1370.74595,1379.92673,1357.12313,,,,
Canada,CAN,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054.8105,3116.05968,3155.06585,3239.25841,3510.56731,3690.92632,3702.32148,3896.25509,4080.82564,4233.77368,4308.71248,4582.98945,4705.94603,4445.71623,4643.43533,4780.15597,4630.27896,4628.49834,4552.48528,,,,
Canada,CAN,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,15219,16862,16402,17456,20044,21472,21250,19267,24834,26284,25681,23513,23875,24937,27730,28704,33341,32756,35390,40365,46252,39092,36732,38712,39888,41832,45031,47758,45619,40956,45220,48472,50110,49819,51028,52461,54665,58913,
Canada,CAN,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,9106,10556,9772,10415,12396,12894,12694,11837,15262,15181,13948,12253,12573,13068,14391,14938,17895,18519,18189,20502,22080,17314,17068,18072,17719,18777,19949,21101,20040,18663,20449,21337,21741,21449,21348,22589,23652,25853,
Canada,CAN,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,6113,6306,6630,7041,7648,8578,8556,7430,9572,11103,11733,11260,11302,11869,13339,13766,15446,14237,17201,19863,24172,21778,19664,20640,22169,23055,25082,26657,25579,22293,24771,27135,28369,28370,29680,29872,31013,33060,
Canada,CAN,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,1648,2164,2000,2017,2026,2092,2161,2527,2772,3031,2549,2182,2807,3623,2480,2431,2583,3344,3809,4061,4187,3963,3959,3929,5231,5183,5522,4998,5061,5067,4550,4754,4709,4567,4198,4277,4078,4053,
Canada,CAN,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,22699,23267,23883,23690,24709,25482,25596,26598,28869,32060,24375,21097,22950,23307,24683,24161,24987,25238,30163,33189,35435,35753,35782,33299,32970,34705,36516,35133,37028,32410,30899,30357,30533,30174,31283,32687,30667,30969,
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37695.5,41624.3,47087.7,49258.8,52326.3,53416.3,55541,56734.1,57925.7,60130.9,60611.1,61539.4,60496.4,57355.8,,
Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61209,1.6192,1.71643,1.75588,1.86469,2.02831,1.97873,1.97478,2.00416,1.97759,1.94872,1.90857,1.8604,1.92227,1.82958,1.79132,1.7766,1.7098,1.71824,1.6493,1.60407,1.5295,
Canada,CAN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,37516629.74,32395979.7,41356954.53,36279213.43,49067607.33,56333933.08,70071330.26,105069573.8,122559139.6,234647639.9,344308511.4,445988128,519227512.1,607184918.4,734310708,877130015.2,1162992218,1532461921,1648628700,2324370055,2533058807,2577632669,3005331828,3184169861,2872614154,3359022649,3835171841,4129857999,3600755827,2813795309,3347133681,3932142028,4570793141,4757843634,4086336990,4009325048,4289963689,4789431013
Canada,CAN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,595523427.9,676791311.3,718904591.8,798409863.3,797921127.1,936830514.7,980468454.4,1303280360,1446457816,1663735510,1788584438,1712792405,1685668201,1763794953,1882428690,1950384131,2287708729,2592280796,3212778230,3563990016,3543735427,4483116912,5454803345,6457873438,6957118229,7083044947,8161983551,8923852287,8911522147,9730797451,10408462400,10903865024,11805191192,11697517135,10730048600,11449343397,11904359862,11779170673
Central Europe and the Baltics,CEB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.903485544,4.153891033,4.277884864,4.690692063,6.796316727,7.396543447,8.214648643,9.779382084,9.485330061,10.09405656,10.13521152,11.05876108,10.6049145,10.53473093,9.635349801,10.13046912,11.4011267,11.73828777,11.41139573,10.87355208,10.64044422,10.5588601,10.34792756,10.6544376,10.30997174,
Central Europe and the Baltics,CEB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697069147,3017265260,3637543337,6122015121,8177116420,9086665832,11990369881,12819673643,16534326909,20551772431,28950416189,31316820407,37728115960,44309329967,54583799693,47739472208,57632243707,69024211983,62306540908,65585865443,69246452467,63594165736,65015987103,70531165639,
Central Europe and the Baltics,CEB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5030101,542.9827199,517.5442298,482.7361003,442.5359566,427.2572081,422.6756416,404.1119734,409.3503607,439.8339158,465.9865408,462.0204148,455.4882946,462.9676151,494.5496806,559.5245734,619.3626805,622.6219611,638.4297879,652.805092,,,
Central Europe and the Baltics,CEB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.609484,1394.047462,1403.894411,1379.020069,1371.457739,1386.128949,1407.393375,1420.134239,1489.424107,1608.686776,1615.21413,1678.940354,1744.445629,1761.804322,1834.1186,1849.960772,1922.056049,1997.87568,2104.209708,2143.972413,,,
Central Europe and the Baltics,CEB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,2132,1999,2100,2264,2302,6808,8066,8714,10756,13382,24938,33349,53366,101224,89691,98544,93681,104601,108017,109904,128866,121965,116832,127085,123122,113993,116080,106503,101137,79553,80419,78321,70399,70937,66157,62608,64500,65105,
Central Europe and the Baltics,CEB,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,708,656,829,1070,1181,1312,1430,1528,2179,2730,4963,10100,16175,24299,30799,33293,29869,33360,34526,36213,41252,41616,42953,47498,53975,54284,57989,55608,54603,46247,48144,47903,43207,45818,45094,44441,45834,45714,
Central Europe and the Baltics,CEB,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,1424,1343,1271,1194,1121,5496,6636,7186,8577,10652,19975,23249,37191,76925,58892,65251,63812,71241,73491,73691,87614,80349,73879,79587,69147,59709,58091,50895,46534,33306,32275,30418,27192,25119,21063,18167,18666,19391,
Central Europe and the Baltics,CEB,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,13665,12648,13178,14420,15248,12231,12728,13735,15163,13882,9533,8086,7048,8147,7664,7676,7025,6882,6411,5863,6060,6212,6589,5888,6099,5561,5585,5994,6280,6947,7648,8262,7943,7919,7218,8044,7518,7053,
Central Europe and the Baltics,CEB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,4745,4268,3904,3528,3599,2928,2755,3001,2826,2967,3926,3573,5364,8566,8606,8766,9041,12491,12916,16331,17805,17322,18698,14807,9533,6308,1467,1003,768,606,547,542,631,499,495,434,405,413,
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39429,43153.5,49540.6,52145.5,57474.8,64670.1,67670.6,72531,77039.9,80192.3,82969.8,86565.7,89115,85642.6,,
Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72790288,0.750916599,0.733622918,0.738220822,0.745997834,0.750693852,0.740057863,0.730959651,0.734947752,0.73615636,0.752457067,0.756444052,0.782729206,0.827567102,0.875637013,0.959489688,1.058410943,1.061563298,1.089726277,1.146878007,1.026790119,,
Central Europe and the Baltics,CEB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48527928.97,18057553.65,42308361.49,40065031.45,51801878.22,69880163.65,241113331.5,204280301.9,195815907.1,250588751.3,292285328,341965061.2,572006401.2,500030204.4,680038794.4,1088501726,738374957.3,1180186424,2699737125,2377941842,3164745176,3115987009,3094402057,3085610942,3262419542,2756929464,3010328902,3008774181,3241552395
Central Europe and the Baltics,CEB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35895240.69,39068374.03,34526738.14,84146420.63,230704620.5,325634242.5,536658461.6,634021640.9,703396728,1154375492,1138630353,1144319030,1445432918,1832939682,2553862579,3252298875,3720428348,4790951987,6522547714,5641562440,6417107645,7225142145,6701860321,8136782123,8444207404,7797520323,7657527124,8509102058,8416174899
Switzerland,CHE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05885347,15.77161652,15.57671706,15.54776129,15.92934241,15.60990652,15.77294951,17.14135343,17.7751268,18.01263543,19.29127989,21.83141639,22.18982534,23.05941679,23.98485622,24.74491885,24.35684292,24.17466797,23.90361435,23.27406236,24.36564513,25.98351533,25.33659826,24.85503126,25.75888504,26.5137543,26.39860855,26.83805522,27.08277979,11.39593703,10.99310846
Switzerland,CHE,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7479784332,7541571051,9277551820,8912296199,9774985529,9230687861,10344088045,13037734712,13274704634,12722195113,14136393182,16163556375,15866413327,17147574973,19694009164,23085157546,26652824516,28272674039,31113885408,35285033968,42508223136,39308607780,42679710697,50124292139,50098542757,53294077946,55906710140,53257659389,54886911951,24159696001,24769606100
Switzerland,CHE,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752.37556,,,,2313.30008,,,,2331.48552,,,,2846.22343,,,,2674.8655,,,2927.08355,,,
Switzerland,CHE,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130.49971,,,,3642.26168,,,,3457.07719,,,,3288.16746,,,,4455.50701,,,5257.29765,,,
Switzerland,CHE,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,4619,4771,4945,5328,5365,11539,12186,13525,15931,17108,17225,15892,16130,20504,19820,24767,20391,21135,21738,22882,28654,24217,21680,22175,25260,26210,27365,30550,30769,27952,27853,28283,28507,28869,29028,29987,30404,31225,
Switzerland,CHE,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,2757,2809,2952,3161,3109,3204,3360,3645,3867,3998,3596,3311,3707,6845,5963,9879,6386,6516,6812,7335,9043,7692,,,9304,9435,9758,11817,11939,11934,11175,10920,11440,11433,11681,12385,11746,12714,
Switzerland,CHE,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,1862,1962,1993,2167,2256,8335,8826,9880,12064,13110,13629,12581,12423,13659,13857,14888,14005,14619,14926,15547,19611,16525,,,15956,16775,17607,18733,18830,16018,16678,17363,17067,17436,17347,17602,18658,18511,
Switzerland,CHE,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,4049,3712,3845,3817,3393,3191,3199,3298,3236,3247,2987,2949,3068,2999,3033,2890,2504,2408,2025,1916,2083,1859,1827,1831,1742,1643,1740,1692,1594,1684,1622,1597,1480,1525,1480,1477,1462,1337,
Switzerland,CHE,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,5613,4430,3637,3038,2714,2281,1954,1764,1556,1371,1081,893,903,874,892,830,718,620,564,535,468,594,466,396,434,455,362,342,439,394,533,446,1508,631,568,446,309,291,
Switzerland,CHE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12848.2,13992.8,15384.7,16385.4,16922.5,17438,18094.8,18944,19932.9,21200.9,21877.8,22502,21884.1,21127.6,,
Switzerland,CHE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44857,,,,2.32344,,,,2.67269,,,,2.71472,,,,3.1873,,,3.3743,,,
