,country,indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
83,ARE,"Trademark applications, direct resident",,,,,,,,,,,,,,,,,,,,,3208.0,4130.0,5293.0,6992.0,6425.0,5199.0,6075.0
84,ARE,"Trademark applications, direct nonresident",,,,,,,,,,,,,,,,,,,,,12851.0,12668.0,13454.0,13329.0,14990.0,13578.0,12967.0
87,ARE,Scientific and technical journal articles,,,,,,,,,,,,,522.6,537.8,698.1,810.4,756.1,917.8,1024.7,1229.3,1427.8,1645.5,1775.6,1819.0,2261.6,2180.9,
91,ARG,High-technology exports (% of manufactured exports),,7.953191017000001,6.479174551,4.757370505,4.02028498,5.59195718,5.074831596,5.909451209,8.104063118,9.351856306,9.267344476,7.669045367000001,8.897494763,7.719023677999999,6.826630038999999,7.05418222,6.594450291,9.017369186,8.686933066,7.418585912999999,7.0740214429999995,6.415778771,7.259680198,6.876391722999999,9.008199852999999,8.792814727,8.950386417999999
92,ARG,High-technology exports (current US$),,255887224.0,271336431.0,247037164.0,285394512.0,400463473.0,460222625.0,544457420.0,599028286.0,797074012.0,800150443.0,600022456.0,710281801.0,761458020.0,840303735.0,1043916907.0,1139881387.0,1948517138.0,1546820304.0,1628113368.0,1862450242.0,1601051638.0,1745160318.0,1473214194.0,1442450760.0,1300925701.0,1447746846.0
93,ARG,Technicians in R&D (per million people),,,,,,,159.12276,169.88769,155.72444,157.48519,165.7526,160.25603,167.79181,179.89245,198.95013,206.04724,193.44400000000002,203.95029,225.73857999999998,246.04666,271.04767000000004,304.75045,318.77289,318.81147000000004,321.36615,310.1436,
94,ARG,Researchers in R&D (per million people),,,,,,,692.19237,701.3765099999999,709.55991,712.9470200000001,684.68019,688.39888,714.36814,760.9603,814.09127,885.7680300000001,967.74539,1028.24526,1032.7503,1120.67993,1176.96839,1199.36089,1193.80827,1202.02836,1219.99601,1232.60086,
95,ARG,"Trademark applications, total",44357.0,37345.0,37687.0,49867.0,60884.0,47972.0,60194.0,72008.0,64719.0,61847.0,40583.0,42812.0,81216.0,76431.0,79018.0,77711.0,71559.0,89629.0,83683.0,88428.0,77494.0,60170.0,55295.0,58486.0,66278.0,71058.0,74722.0
96,ARG,"Trademark applications, direct resident",34654.0,26749.0,27037.0,36316.0,43096.0,33693.0,42784.0,52569.0,45377.0,42900.0,27587.0,30721.0,61843.0,59683.0,59264.0,58283.0,53669.0,66326.0,65273.0,68974.0,57346.0,44398.0,40291.0,44134.0,52208.0,55739.0,59669.0
97,ARG,"Trademark applications, direct nonresident",9703.0,10596.0,10650.0,13551.0,17788.0,14279.0,17410.0,19439.0,19342.0,18947.0,12996.0,12091.0,19373.0,16748.0,19754.0,19428.0,17890.0,23303.0,18410.0,19454.0,20148.0,15772.0,15004.0,14352.0,14070.0,15319.0,15053.0
98,ARG,"Patent applications, residents",943.0,503.0,787.0,694.0,676.0,1097.0,824.0,861.0,899.0,1062.0,691.0,718.0,792.0,786.0,1054.0,1020.0,937.0,801.0,640.0,552.0,688.0,735.0,643.0,509.0,546.0,884.0,393.0
99,ARG,"Patent applications, nonresidents",1851.0,1919.0,2261.0,2820.0,3588.0,4012.0,5035.0,5459.0,5558.0,5574.0,5088.0,4143.0,3765.0,3816.0,4215.0,4597.0,4806.0,4781.0,4336.0,4165.0,4133.0,4078.0,4129.0,4173.0,3579.0,2925.0,3050.0
100,ARG,Scientific and technical journal articles,,,,,,,,,,,,,4588.4,4700.7,5009.2,5599.8,5755.0,6356.5,7017.4,7472.5,7961.9,8205.1,8268.5,8955.3,8719.7,8648.2,
101,ARG,Research and development expenditure (% of GDP),,,,,,0.41748999999999997,0.41958999999999996,0.41131,0.45337,0.43883999999999995,0.42461000000000004,0.38886,0.41013,0.40376,0.42073999999999995,0.45216000000000006,0.46007,0.47055,0.58398,0.56104,0.56597,0.6349100000000001,0.61849,0.59278,0.6140800000000001,0.53274,
102,ARG,"Charges for the use of intellectual property, receipts (BoP, current US$)",4000000.0,5700000.0,6960000.0,8700000.0,12400000.0,15554642.49,17579252.91,26332381.71,25406457.61,36756558.01,46775129.55,33450000.0,51500000.0,61210000.0,51080000.0,80512422.81,96694187.45,99367650.4,105965489.6,152187821.1,155396388.3,158152120.1,179902421.6,174205013.5,161745947.0,168807424.7,208561771.5
103,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",420000000.0,284000000.0,319800000.0,376700000.0,392000000.0,482004066.2,544377042.6,590352559.1,582160100.1,580337544.9,564137635.4,351280000.0,402950000.0,520630000.0,650640000.0,894824121.7,1174682410.0,1531726727.0,1526895361.0,1712212410.0,2079139111.0,2216992900.0,2329270062.0,2098996166.0,2178066124.0,2108388364.0,2297608490.0
104,ARM,High-technology exports (% of manufactured exports),,,,,,,5.501607591,,2.283042317,4.726627318999999,10.39872659,1.622448171,1.40902708,1.246117046,0.619179418,1.080395244,0.87587352,1.405882026,2.181898774,1.848659372,2.598362316,2.649411668,2.8831502319999998,2.700332187,5.274277393999999,5.9386092889999995,6.8452685010000005
105,ARM,High-technology exports (current US$),,,,,,,6386519.0,,3142316.0,3966685.0,6167674.0,3442977.0,4703718.0,4226900.0,3457721.0,5101971.0,3992200.0,6476229.0,3937441.0,3759946.0,5737622.0,7045295.0,8886596.0,8317916.0,11067794.0,21142634.0,25601284.0
108,ARM,"Trademark applications, total",,,,,3399.0,3928.0,2494.0,3179.0,2983.0,2886.0,2843.0,2328.0,2841.0,4169.0,3566.0,3800.0,4422.0,4191.0,3951.0,4308.0,4378.0,4513.0,4536.0,4506.0,4361.0,4015.0,4515.0
109,ARM,"Trademark applications, direct resident",,,,,6.0,44.0,61.0,574.0,791.0,510.0,407.0,388.0,695.0,1600.0,963.0,945.0,882.0,939.0,1115.0,1266.0,1102.0,1122.0,1167.0,1342.0,1340.0,1261.0,1473.0
110,ARM,"Trademark applications, direct nonresident",,,,,3393.0,3884.0,2433.0,2605.0,2192.0,2376.0,2436.0,1940.0,2146.0,2569.0,2603.0,2855.0,3540.0,3252.0,2836.0,3042.0,3276.0,3391.0,3369.0,3164.0,3021.0,2754.0,3042.0
111,ARM,"Patent applications, residents",,,184.0,154.0,187.0,162.0,62.0,75.0,109.0,119.0,140.0,200.0,151.0,,206.0,192.0,135.0,226.0,116.0,136.0,121.0,137.0,125.0,121.0,113.0,125.0,107.0
112,ARM,"Patent applications, nonresidents",,,30.0,79.0,98.0,154.0,121.0,8.0,16.0,8.0,15.0,7.0,6.0,,2.0,1.0,5.0,4.0,11.0,6.0,19.0,4.0,6.0,2.0,2.0,1.0,3.0
113,ARM,Scientific and technical journal articles,,,,,,,,,,,,,311.9,342.2,390.0,360.3,400.5,394.5,446.5,494.3,618.6,550.5,552.0,559.1,531.4,521.0,
114,ARM,Research and development expenditure (% of GDP),,,,,,,0.18692,0.22601,0.214,0.19105999999999998,0.27987,0.25255,0.32109,0.25659,0.25761,0.24056999999999998,0.21106999999999998,0.22438000000000002,0.29093,0.24139000000000002,0.27014,0.23853000000000002,0.22216,0.24151,0.25001999999999996,0.23305,0.2277
138,ATG,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,8.0,7.0,7.0,15.0,10.0,12.0,8.0
139,ATG,Scientific and technical journal articles,,,,,,,,,,,,,1.8,0.7,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9,2.5,3.9,7.8,
142,ATG,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,133333.3333,,311111.1111,260000.0,288888.8889,474814.8148,509629.6296,511081.4815,528748.1481,578800.0,769324.4444,806277.7778,1886308.889,1190460.37,1200365.5559999999,1094687.037,1147304.4440000001,1181754.4440000001,2975174.815,3074426.8219999997,4026738.8860000004,4208635.528
143,AUS,High-technology exports (% of manufactured exports),9.777940932,10.43484734,11.48080469,14.08045528,12.85512116,12.07011374,11.7296787,11.46150241,11.09083182,15.35994465,15.48856356,16.51967087,13.69851865,13.53330317,12.76762819,12.31833221,10.25721371,10.78836729,11.92575814,11.86682435,13.06709696,12.72958582,12.90999462,13.5987282,13.51306446,14.78155861,12.79115849
144,AUS,High-technology exports (current US$),885009286.0,978796278.0,1160642748.0,1700360879.0,1811951850.0,1917702397.0,1937328232.0,1568134784.0,1617003942.0,2758523559.0,2676687071.0,2957074170.0,2744814896.0,3100450495.0,3284430694.0,3371725564.0,3302057949.0,3793610041.0,3249473216.0,3916557449.0,4859392142.0,4760970576.0,4565211317.0,4691411621.0,4237456601.0,4572080828.0,4322994334.0
145,AUS,Technicians in R&D (per million people),,,,,,810.54375,,792.551,,816.27678,,957.67995,,882.27499,,1015.45155,,1135.91697,,,,,,,,,
146,AUS,Researchers in R&D (per million people),,,,,,3340.72966,,3368.0336700000003,,3461.76252,,3757.2417100000002,,4070.0698799999996,,4238.48887,,4341.048629999999,,4539.4941,,,,,,,
