country code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CZE,594.0,615.0,640.0,532.0,425.0,83.0,76.0,68.0,55.0,48.0,48.0,36.0,24.0,422.0,500.0,725.0,550.0,455.0,449.0,362.0,368.0,388.0,357.0,400.0,443.0,564.0,517.0,545.0,544.0,725.0,576.0,718.0,905.0,900.0,956.0,1039.0,1207.0,1294.0
DEU,48071.0,47817.0,52416.0,52291.0,54511.0,67719.0,60073.0,56734.0,51799.0,54002.0,50852.0,50953.0,42727.0,45135.0,45719.0,45107.0,42403.0,42599.0,44816.0,45255.0,40624.0,48494.0,56583.0,63242.0,65928.0,63209.0,69859.0,63269.0,65763.0,62720.0,68782.0,69745.0,75372.0,78924.0,80514.0,82367.0,96923.0,94383.0
DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
DNK,1253.0,1143.0,1259.0,1183.0,1278.0,1433.0,1343.0,1326.0,1197.0,1266.0,1287.0,1285.0,1535.0,1723.0,1714.0,1644.0,1568.0,1945.0,1864.0,2022.0,1886.0,2190.0,2585.0,2895.0,2720.0,2661.0,2865.0,2673.0,2907.0,3257.0,3639.0,3797.0,4071.0,4426.0,4478.0,4928.0,5987.0,5893.0
DOM,0.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,1.0,3.0,2.0,6.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,5.0,2.0,8.0,3.0,2.0,4.0,2.0
DZA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,4.0,5.0,8.0
ECU,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,8.0,2.0,3.0,0.0,4.0,4.0,2.0,5.0,2.0,5.0,18.0,4.0,5.0,8.0,9.0,4.0,12.0,10.0
ERI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ESP,2224.0,1646.0,1971.0,1869.0,1817.0,2194.0,2371.0,1841.0,1550.0,3149.0,2233.0,1725.0,2363.0,1458.0,1439.0,1463.0,1531.0,1761.0,2584.0,2719.0,2518.0,2640.0,2074.0,3105.0,3108.0,3777.0,3545.0,3875.0,3846.0,4123.0,4452.0,4687.0,4855.0,5249.0,5626.0,5108.0,5670.0,5536.0
EST,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,21.0,628.0,487.0,794.0,89.0,64.0,53.0,59.0,58.0,56.0,39.0,49.0,25.0,52.0,37.0,44.0,105.0,108.0,146.0,178.0,121.0,121.0,132.0,125.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FIN,1208.0,1253.0,1371.0,1557.0,1628.0,1741.0,1809.0,2018.0,1974.0,2070.0,2199.0,2203.0,2210.0,2371.0,2303.0,2362.0,2806.0,3139.0,3494.0,3578.0,3397.0,3822.0,4619.0,5494.0,6021.0,5469.0,5662.0,5789.0,6157.0,5957.0,6168.0,5570.0,6005.0,5994.0,5939.0,6554.0,7499.0,7771.0
FJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,20226.0,18550.0,21173.0,20985.0,23095.0,27972.0,25222.0,24264.0,22332.0,21915.0,20939.0,21749.0,23948.0,22696.0,26670.0,27935.0,23723.0,25439.0,24661.0,24834.0,21636.0,24130.0,25951.0,30643.0,28616.0,25076.0,31659.0,27955.0,29384.0,29352.0,31654.0,32965.0,38230.0,38920.0,39455.0,40375.0,44977.0,44166.0
GAB,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,80.0,32.0,32.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
GBR,14990.0,15475.0,14913.0,16434.0,16027.0,18870.0,17482.0,15540.0,14353.0,14812.0,14059.0,14452.0,14714.0,14529.0,14550.0,14587.0,12942.0,13289.0,14517.0,14349.0,12696.0,12974.0,15548.0,16863.0,16836.0,14934.0,15923.0,13422.0,13643.0,13799.0,16633.0,17609.0,19249.0,19682.0,20417.0,19868.0,22219.0,22465.0
GEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,31.0,97.0,41.0,30.0,18.0,21.0,251.0,186.0,154.0,126.0,93.0,185.0,156.0,136.0,170.0,29.0,51.0,103.0,133.0,48.0,13.0,70.0,68.0,41.0
GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,2.0
GIN,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,34.0,2.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,16.0,17.0,0.0,16.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0
GNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,1151.0,1428.0,1170.0,1393.0,1488.0,1196.0,1185.0,1399.0,192.0,24.0,83.0,67.0,189.0,316.0,180.0,146.0,256.0,249.0,208.0,251.0,239.0,334.0,425.0,411.0,473.0,392.0,427.0,431.0,551.0,584.0,617.0,558.0,504.0,463.0,491.0,463.0,484.0,474.0
GRD,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
GTM,0.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,2.0
GUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
HND,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
HRV,7.0,4.0,9.0,7.0,3.0,14.0,2.0,2.0,6.0,3.0,2.0,3.0,12.0,7.0,15.0,46.0,72.0,70.0,106.0,137.0,156.0,185.0,135.0,199.0,210.0,214.0,210.0,191.0,256.0,204.0,214.0,168.0,198.0,163.0,140.0,126.0,166.0,105.0
HTI,5.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HUN,1996.0,2051.0,2343.0,2744.0,3137.0,4767.0,4340.0,3709.0,3137.0,3211.0,3266.0,2803.0,2207.0,1733.0,1275.0,1555.0,856.0,813.0,453.0,370.0,315.0,425.0,462.0,578.0,431.0,493.0,517.0,569.0,592.0,437.0,761.0,631.0,566.0,619.0,578.0,569.0,586.0,621.0
IDN,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,4.0,9.0,3.0,7.0,17.0,13.0,17.0,12.0,7.0,11.0,10.0,15.0,20.0,19.0,21.0,24.0,22.0,9.0,7.0,14.0,18.0,19.0,28.0,20.0,30.0,27.0,29.0
IND,26.0,24.0,34.0,43.0,44.0,74.0,96.0,135.0,139.0,143.0,164.0,140.0,151.0,208.0,195.0,254.0,338.0,487.0,799.0,1084.0,1304.0,1443.0,1618.0,1610.0,1607.0,1378.0,1660.0,1541.0,1466.0,1628.0,2294.0,2289.0,2821.0,3616.0,3876.0,3616.0,3409.0,2891.0
IRL,125.0,151.0,167.0,152.0,148.0,244.0,214.0,202.0,189.0,266.0,280.0,299.0,374.0,468.0,813.0,800.0,843.0,853.0,841.0,685.0,583.0,555.0,650.0,796.0,711.0,672.0,870.0,769.0,943.0,1055.0,1245.0,1314.0,1569.0,1735.0,2009.0,2169.0,2653.0,2770.0
IRQ,2.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0
ISL,4.0,7.0,9.0,6.0,7.0,15.0,12.0,18.0,14.0,18.0,26.0,9.0,14.0,27.0,14.0,25.0,20.0,14.0,47.0,54.0,39.0,46.0,100.0,59.0,38.0,95.0,62.0,150.0,118.0,99.0,81.0,127.0,108.0,146.0,159.0,161.0,164.0,174.0
ISR,331.0,343.0,367.0,379.0,415.0,491.0,522.0,473.0,514.0,579.0,592.0,578.0,662.0,593.0,692.0,750.0,719.0,770.0,1067.0,1108.0,1193.0,1375.0,1650.0,2022.0,2122.0,1926.0,2533.0,2448.0,2821.0,3244.0,3382.0,3580.0,4355.0,5005.0,5263.0,5419.0,6015.0,6391.0
ITA,7286.0,6690.0,7337.0,5762.0,6103.0,17545.0,18438.0,20367.0,10390.0,13102.0,14072.0,8827.0,9346.0,10501.0,11261.0,12540.0,13469.0,15886.0,14977.0,11818.0,8309.0,10140.0,11923.0,13737.0,8474.0,7283.0,8909.0,7849.0,8718.0,8805.0,10126.0,10938.0,15298.0,17877.0,11510.0,11584.0,14063.0,13818.0
JAM,3.0,1.0,0.0,1.0,7.0,9.0,0.0,5.0,1.0,6.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,6.0,0.0,4.0,5.0,8.0,22.0,13.0,13.0
JOR,0.0,0.0,0.0,2.0,0.0,4.0,14.0,0.0,10.0,16.0,4.0,12.0,13.0,11.0,11.0,12.0,6.0,37.0,2.0,11.0,9.0,5.0,16.0,9.0,7.0,15.0,17.0,26.0,24.0,14.0,36.0,37.0,10.0,21.0,24.0,32.0,21.0,21.0
JPN,61192.0,65444.0,76551.0,76718.0,74352.0,85937.0,87884.0,89250.0,92715.0,91199.0,93014.0,111001.0,115534.0,122468.0,140790.0,155367.0,137827.0,159054.0,186264.0,200382.0,168567.0,168252.0,171425.0,188995.0,191374.0,187970.0,213487.0,235739.0,237254.0,251746.0,276719.0,308743.0,334871.0,338176.0,335917.0,273727.0,307237.0,287959.0
KAZ,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,304.0,285.0,163.0,137.0,79.0,44.0,65.0,55.0,130.0,84.0,186.0,142.0,161.0,224.0,128.0,266.0,177.0,114.0,170.0,139.0,197.0,204.0,550.0,452.0
